"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","340","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 11:57:34 UTC 2026","passed","Wed May 13 11:57:34 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","346","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 11:57:33 UTC 2026","passed","Wed May 13 11:57:33 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","439","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 11:57:31 UTC 2026","passed","Wed May 13 11:57:31 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","368","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 11:57:35 UTC 2026","passed","Wed May 13 11:57:35 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","1677","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Wed May 13 11:57:36 UTC 2026","passed","Wed May 13 11:57:37 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","372","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 11:57:32 UTC 2026","passed","Wed May 13 11:57:32 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","480","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 11:57:43 UTC 2026","passed","Wed May 13 11:57:44 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","507","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 11:57:42 UTC 2026","passed","Wed May 13 11:57:43 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","489","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 11:57:44 UTC 2026","passed","Wed May 13 11:57:45 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","984","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Wed May 13 11:57:38 UTC 2026","passed","Wed May 13 11:57:39 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","972","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Wed May 13 11:57:40 UTC 2026","passed","Wed May 13 11:57:41 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","517","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 11:57:41 UTC 2026","passed","Wed May 13 11:57:42 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
