"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","559","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 12:03:36 UTC 2026","passed","Wed May 13 12:03:37 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","542","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 12:03:40 UTC 2026","passed","Wed May 13 12:03:40 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","373","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 12:03:29 UTC 2026","passed","Wed May 13 12:03:29 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","376","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 12:03:28 UTC 2026","passed","Wed May 13 12:03:28 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","583","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 12:03:37 UTC 2026","passed","Wed May 13 12:03:38 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","392","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 12:03:30 UTC 2026","passed","Wed May 13 12:03:30 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","1078","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Wed May 13 12:03:33 UTC 2026","passed","Wed May 13 12:03:34 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","538","REG_09-12: Inventory Sorting Validation","SauceDemo Full Automation Suite","Wed May 13 12:03:38 UTC 2026","passed","Wed May 13 12:03:39 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testProductSorting"
"","518","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 12:03:25 UTC 2026","passed","Wed May 13 12:03:26 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
"","1066","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Wed May 13 12:03:34 UTC 2026","passed","Wed May 13 12:03:36 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","1688","REG_06-08: Checkout Form Validations","SauceDemo Full Automation Suite","Wed May 13 12:03:31 UTC 2026","passed","Wed May 13 12:03:32 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testCheckoutFields"
"","410","REG_01-05: Login Negative Scenarios","SauceDemo Full Automation Suite","Wed May 13 12:03:27 UTC 2026","passed","Wed May 13 12:03:27 UTC 2026","com.saucedemo.tests.RegressionTests","Regression and Validation Suite","com.saucedemo.tests.RegressionTests","testLoginValidation"
